275902524 	Aug/12/2024 12:14UTC+5.5 	oreothicc 	B - Array merging 	Java 21 	Time limit exceeded on test 3 	1000 ms 	30000 KB
275902211 	Aug/12/2024 12:12UTC+5.5 	oreothicc 	B - Array merging 	Java 21 	Wrong answer on test 2 	765 ms 	100 KB
275901783 	Aug/12/2024 12:08UTC+5.5 	oreothicc 	B - Array merging 	Java 21 	Wrong answer on test 2 	811 ms 	1100 KB
275900650 	Aug/12/2024 11:59UTC+5.5 	oreothicc 	C - Raspberries 	Java 21 	Accepted 	421 ms 	1100 KB
275900440 	Aug/12/2024 11:57UTC+5.5 	oreothicc 	C - Raspberries 	Java 21 	Wrong answer on test 2 	312 ms 	100 KB
275899726 	Aug/12/2024 11:51UTC+5.5 	oreothicc 	C - Raspberries 	Java 21 	Wrong answer on test 2 	327 ms 	900 KB
275641171 	Aug/10/2024 23:36UTC+5.5 	oreothicc 	A - Helmets in Night Light 	Java 21 	Accepted 	656 ms 	1800 KB
275640940 	Aug/10/2024 23:34UTC+5.5 	oreothicc 	A - Helmets in Night Light 	Java 21 	Accepted 	639 ms 	6200 KB
275639737 	Aug/10/2024 23:27UTC+5.5 	oreothicc 	A - Helmets in Night Light 	Java 21 	Wrong answer on test 3 	577 ms 	500 KB
275638213 	Aug/10/2024 23:18UTC+5.5 	oreothicc 	A - Helmets in Night Light 	Java 21 	Compilation error 	0 ms 	0 KB
275635945 	Aug/10/2024 23:05UTC+5.5 	oreothicc 	A - Helmets in Night Light 	Java 21 	Compilation error 	0 ms 	0 KB
275633873 	Aug/10/2024 22:48UTC+5.5 	oreothicc 	A - Helmets in Night Light 	Java 21 	Compilation error 	0 ms 	0 KB
263959023 	Jun/03/2024 20:51UTC+5.5 	oreothicc 	A - Problem Generator 	Java 21 	Accepted 	233 ms 	100 KB
255695153 	Apr/08/2024 20:57UTC+5.5 	oreothicc 	A - Yogurt Sale 	Java 21 	Accepted 	280 ms 	900 KB
254404708 	Apr/01/2024 14:55UTC+5.5 	oreothicc 	B - Jagged Swaps 	Java 21 	Accepted 	389 ms 	900 KB
254330999 	Mar/31/2024 22:23UTC+5.5 	oreothicc 	G - Swap and Delete 	Java 21 	Wrong answer on test 2 	374 ms 	400 KB
254328670 	Mar/31/2024 22:01UTC+5.5 	oreothicc 	E - Chemistry 	Java 21 	Accepted 	373 ms 	700 KB
254324825 	Mar/31/2024 21:25UTC+5.5 	oreothicc 	A - Game with Integers 	Java 21 	Accepted 	264 ms 	300 KB
254107162 	Mar/30/2024 18:42UTC+5.5 	oreothicc 	A - Shuffle Party 	Java 21 	Accepted 	326 ms 	900 KB
254102988 	Mar/30/2024 18:10UTC+5.5 	oreothicc 	B - Sum of Round Numbers 	Java 21 	Accepted 	529 ms 	400 KB
254101676 	Mar/30/2024 18:00UTC+5.5 	oreothicc 	M - Find and Replace 	Java 21 	Accepted 	342 ms 	0 KB
254099100 	Mar/30/2024 17:40UTC+5.5 	oreothicc 	D - Lucky? 	Java 21 	Accepted 	342 ms 	100 KB
